"","repo_id","parent_id","full_name","counter","percentage","ALL","X0.75","X0.5","X0.25","X1.Commit"
"140",9957909,"5874","alexander-yakushev/clojure","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"141",13835169,"5874","arrdem/clojure","0",0,"Hard","Hard","Hard","Hard","Hard"
"142",29878800,"5874","automenta/clojure","0",0,"Hard","Hard","Hard","Hard","Hard"
"143",38482226,"5874","source-c/clojure","0",0,"Hard","Hard","Hard","Hard","Hard"
"144",38876712,"5874","ollie314/clojure","0",0,"Hard","Hard","Hard","Hard","Hard"
"145",44174437,"5874","jamieforrest/clojure","0",0,"Hard","Hard","Hard","Hard","Hard"
"146",85510715,"5874","ghosthamlet/clojure","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"147",7134,"7118","jananin/YCSB","8",0.73,"Hard","Hard","Social","Social","Social"
"148",7164,"7118","adityakishore/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"149",70196,"7118","couchbaselabs/YCSB","10",0.42,"Hard","Hard","Hard","Social","Social"
"150",1738573,"7118","toddlipcon/YCSB","4",0.06,"Hard","Hard","Hard","Hard","Social"
"151",1738629,"7118","jbellis/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"152",3281686,"7118","dhentchel/YCSB","3",0.33,"Hard","Hard","Hard","Social","Social"
"153",3633345,"7118","basho-labs/YCSB","30",0.21,"Hard","Hard","Hard","Hard","Social"
"154",3748789,"7118","wibidata/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"155",5212023,"7118","orientechnologies/YCSB","4",0.15,"Hard","Hard","Hard","Hard","Social"
"156",7790391,"7118","busbey/YCSB","94",1,"Social","Social","Social","Social","Social"
"157",13655348,"7118","jixuan1989/YCSB","13",0.52,"Hard","Hard","Social","Social","Social"
"158",15325726,"7118","risdenk/YCSB","70",1,"Social","Social","Social","Social","Social"
"159",15641071,"7118","youtube/YCSB","5",0.08,"Hard","Hard","Hard","Hard","Social"
"160",20786622,"7118","steffenfriedrich/YCSB","1",0.03,"Hard","Hard","Hard","Hard","Social"
"161",28952374,"7118","seybi87/YCSB","5",0.71,"Hard","Hard","Social","Social","Social"
"162",31429929,"7118","CorfuDB/Corfu-YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"163",31701633,"7118","TSDBBench/YCSB-TS","6",0.09,"Hard","Hard","Hard","Hard","Social"
"164",31852965,"7118","shivam-maharshi/YCSB","1",1,"Social","Social","Social","Social","Social"
