repo_id,parent_id,depth,hf_parent_id,hf_depth,is_hard_fork,age,stars,forks,forks_active,user_count,user_family_count,followers_repo,followers_in_family,followers_outside,pr_within,pr_family,pr_within_comments,pr_family_comments,pr_within_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_repo_comments,issue_family_comments,issue_outside_comments,issues_subscribed_repo,issues_unsubscribed_repo,issues_closed_repo,issues_reopened_repo,issues_referenced_repo,issues_assigned_repo,issues_mentioned_repo,pr_mentioned_repo,issues_subscribed_family,issues_unsubscribed_family,issues_closed_family,issues_reopened_family,issues_referenced_family,issues_assigned_family,issues_mentioned_family,issues_subscribed_outside,issues_unsubscribed_outside,issues_closed_outside,issues_reopened_outside,issues_referenced_outside,issues_assigned_outside,issues_mentioned_outside,pr_family_mentioned,commit_count,activityDensity,densitybins,new_jaccard,median_age,median_commits,activity,activity_direction,activity_slope,activity_new_ALL
59041600,17991525,1,NULL,NULL,0,816,0,0,0,2,1,0,1,283,0,2,0,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.008578431,6,0,843,8,Short-Low,Positive,0.252978138,Dead?
59336189,14807988,1,NULL,NULL,0,815,0,0,0,3,3,0,27,286,0,110,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0.715337423,2,0,841,43,Short-Heavy,Positive,0.882181578,Dead?
59594388,10425739,1,NULL,NULL,0,810,0,0,0,2,1,0,0,213,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.017283951,4,0.666666667,951,9,Short-Heavy,Positive,0.433635598,Dead?
59742440,11474326,1,NULL,NULL,0,808,0,0,0,2,1,0,0,205,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.013613861,4,0.642857143,1000.5,11,Short-Low,Positive,0.280259014,Dead?
59826276,14807988,1,NULL,NULL,0,807,0,0,0,13,13,6,166,592,0,39,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0.353159851,2,0.341463415,841,43,Short-Heavy,Positive,0.882181578,Dead?
60075998,45297,1,NULL,NULL,0,804,0,0,0,2,2,0,12,148,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.017412935,4,0.4,752,23,Long-Low,Positive,0.748281629,Dead?
60182804,14807988,1,NULL,NULL,0,803,0,0,0,2,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.02366127,4,0,841,43,Short-Low,Positive,0.882181578,Dead?
60275073,45297,1,NULL,NULL,0,802,0,0,0,2,1,0,12,143,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.009975062,6,0.4,752,23,Long-Low,Positive,0.748281629,Dead?
60320985,17991525,1,NULL,NULL,0,801,0,0,0,4,2,2,0,224,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.02247191,4,0,843,8,Short-Heavy,Positive,0.252978138,Dead?
60341494,59607953,1,NULL,NULL,0,801,0,0,0,4,2,0,3,1637,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.029962547,4,0,641,12,Long-Heavy,Negative,0.036587522,Dead?
60373358,17991525,1,NULL,NULL,0,800,0,0,0,3,1,0,0,213,4,0,0,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.005,6,0,843,8,Short-Low,Positive,0.252978138,Dead?
60444133,17991525,1,NULL,NULL,0,799,0,0,0,4,2,0,6,1136,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.015018773,4,0,843,8,Short-Heavy,Positive,0.252978138,Dead?
60750681,45297,1,NULL,NULL,0,796,0,0,0,4,1,0,3,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.020100503,4,0.357142857,752,23,Long-Low,Positive,0.748281629,Dead?
60761874,33393957,1,60761874,0,1,801,5,3,1,2,1,0,2,376,0,1,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,36,0.04494382,3,0,733.5,18,Long-Heavy,Positive,0.597869947,Dead?
61012568,45297,1,NULL,NULL,0,794,0,0,0,2,2,0,12,160,0,3,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.055415617,3,0.4,752,23,Long-Heavy,Positive,0.748281629,Dead?
61089498,30777963,1,NULL,NULL,0,793,2,4,0,2,2,0,3,15,0,21,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0.257250946,2,0.29787234,834,35,Short-Heavy,Positive,0.282871923,Dead?
61160289,11474326,1,NULL,NULL,0,792,0,0,0,2,1,0,0,203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.003787879,6,0.642857143,1000.5,11,Short-Low,Positive,0.280259014,Dead?
61194681,28178404,1,NULL,NULL,0,792,0,0,0,2,1,0,0,204,0,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.016414141,4,0.5,792,7,Short-Heavy,Negative,0.398146043,Dead?
61690405,45297,1,NULL,NULL,0,786,0,0,0,2,2,0,0,207,0,7,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.044529262,3,0.285714286,752,23,Long-Heavy,Positive,0.748281629,Dead?
62080267,8797876,2,NULL,NULL,0,781,0,2,0,4,2,2,2,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0.104993598,3,0,1386,82,Short-Low,Positive,0.526603563,Dead?
62127490,16212,3,11487604,2,1,781,0,0,0,3,2,1,2,1092,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0.074263764,3,1,878,32,Short-Heavy,Positive,0.043678211,Dead?
62312082,30777963,1,NULL,NULL,0,779,0,0,0,2,1,0,0,225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.007702182,6,0.973684211,834,35,Short-Low,Positive,0.282871923,Dead?
62830588,13874,1,NULL,NULL,0,772,0,0,0,2,1,0,0,207,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.012953368,4,0.733333333,691,13,Long-Low,Positive,0.146874322,Dead?
62977331,17991525,1,NULL,NULL,0,771,0,0,0,2,1,0,7,575,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.010376135,4,0,843,8,Short-Low,Positive,0.252978138,Dead?
63114658,14807988,1,NULL,NULL,0,768,1,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.013020833,4,0.341121495,841,43,Short-Low,Positive,0.882181578,Dead?
63180796,30777963,1,NULL,NULL,0,768,0,2,0,2,2,0,0,203,0,2,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0.04296875,3,0.975,834,35,Short-Low,Positive,0.282871923,Dead?
