repo_id,age,new_jaccard,commit_count,K,,repo_id,age,new_jaccard,commit_count,K,,,Cluster #,Count,Age,Commits,Jaccard Distance
76983367,599,0.8125,2,0,,17731800,1534,0.216216,17,1,,,,,,,
83145120,534,0.8125,28,0,,24152618,1388,0.216216,48,1,,,,,,,
83471720,530,0.733333,12,0,,42592525,1134,0.216216,42,1,,,,,,,
84593632,514,0.733333,18,0,,43540454,1020,0.216216,30,1,,,,,,,
107822230,281,0.733333,12,0,,79018171,578,0.058824,64,1,,,,,,,
108287538,276,0.733333,2,0,,82317508,543,0.058824,84,1,,,,,,,
109978252,260,0.733333,1,0,,102447850,337,0.058824,1,1,,,,,,,
20459,1982,0.214286,27,0,,126226479,104,0,26,1,,,,,,,
308979,2829,1,470,0,,39596622,1076,0,3,1,,,,,,,
441896,2528,0,21,0,,40294968,1066,0,465,1,,,,,,,
4870428,2122,0.375,47,0,,40881357,1058,0.352542,693,1,,,,,,,
7884242,1937,0.375,9,0,,43967364,1014,0.025735,63,1,,,,,,,
11162217,1764,0.5,3,0,,45468880,994,0.348123,79,1,,,,,,,
12662838,1689,1,714,0,,46079411,985,0.442568,48,1,,,,,,,
12672565,1690,0.485714,16,0,,47693334,967,0.454545,6,1,,,,,,,
30809457,1237,1,2,0,,58969176,817,0.15,9,1,,,,,,,
37419409,1105,1,3,0,,64601347,751,0.343643,9,1,,,,,,,
94807629,785,1,4,0,,65205806,744,0,139,1,,,,,,,
123466859,134,1,7,0,,65210565,743,0,41,1,,,,,,,
124770216,121,1,101,0,,66105079,730,0,911,1,,,,,,,
1381669,2388,1,156,0,,69093095,692,0,1524,1,,,,,,,
11216118,1761,1,4,0,,73425894,640,0.454545,8,1,,,,,,,
25711243,1376,1,6,0,,75013016,621,0.025735,159,1,,,,,,,
27341099,1340,1,23,0,,76271731,607,0.384354,353,1,,,,,,,
28899636,1292,1,249,0,,76899281,600,0.40273,37,1,,,,,,,
81016334,557,1,10,0,,77007666,598,0.433447,67,1,,,,,,,
95788697,404,1,37,0,,77880064,590,0.433447,109,1,,,,,,,
98441304,1720,1,15,0,,78343400,607,0.384354,18,1,,,,,,,
11487604,1463,0.48,43,0,,83568611,527,0.442568,18,1,,,,,,,
15407184,1591,0.833333,5,0,,85102696,508,0.442568,2,1,,,,,,,
38212035,1093,1,70,0,,85328039,506,0.343643,24,1,,,,,,,
41279671,1050,1,16,0,,85761892,572,0.343643,101,1,,,,,,,
44281850,1009,1,101,0,,87173895,487,0,31,1,,,,,,,
52172969,909,1,13,0,,88210730,731,0.433447,1,1,,,,,,,
56451665,847,1,45,0,,88400477,475,0,65,1,,,,,,,
62127490,781,1,58,0,,88883466,470,0.433447,36,1,,,,,,,
64261262,754,1,12,0,,88944062,469,0.433447,2,1,,,,,,,
66390051,727,1,21,0,,90192252,457,0.433447,5,1,,,,,,,
75420414,617,1,103,0,,90312790,456,0.132616,12,1,,,,,,,
76082234,610,1,105,0,,94352877,418,0.307958,21,1,,,,,,,
78657169,582,1,11,0,,94574417,416,0,6,1,,,,,,,
86834021,491,1,3,0,,97549604,387,0.399317,4,1,,,,,,,
87877196,478,1,3,0,,97916925,383,0.40273,7,1,,,,,,,
322199,2479,0.492537,9,0,,98765567,375,0,38,1,,,,,,,
1777837,2367,0,10,0,,99436350,368,0.395904,83,1,,,,,,,
4804223,2128,0.617647,34,0,,100134068,361,0.392491,57,1,,,,,,,
12666890,1688,0.912,142,0,,101611361,346,0.391156,42,1,,,,,,,
13597958,1633,0.901786,10,0,,105038070,310,0,31,1,,,,,,,
18072746,1304,0.892157,2,0,,107700132,1200,0.35034,53,1,,,,,,,
31691540,1346,0.912,10,0,,108071837,278,0.35034,2,1,,,,,,,
32523911,1650,0.915385,27,0,,112443780,236,0.040441,3,1,,,,,,,
32635852,1193,0.922481,43,0,,114739687,217,0.307958,11,1,,,,,,,
38347807,1091,0.892157,6,0,,115073766,214,0.307958,8,1,,,,,,,
39083884,1082,0.894231,1,0,,115880460,207,0.163701,3,1,,,,,,,
39158067,1081,0.892157,9,0,,116156080,204,0.163701,3,1,,,,,,,
39933773,1072,0.617647,7,0,,117585161,192,0.091241,58,1,,,,,,,
41186763,1052,0.916667,3,0,,118434390,293,0.348123,2,1,,,,,,,
41328210,1482,0.892157,1,0,,119105251,178,0,60,1,,,,,,,
42374622,1036,0.912,3,0,,119910457,170,0.15,15,1,,,,,,,
42441300,1036,0.886792,2,0,,122203891,145,0,25,1,,,,,,,
42824445,1030,0.922481,7,0,,124580654,123,0.029412,36,1,,,,,,,
43891490,1015,0.892157,22,0,,127849006,92,0,288,1,,,,,,,
44224099,1268,0.912,115,0,,128084298,88,0,137,1,,,,,,,
45085409,999,0.912,6,0,,132908759,43,0,21,1,,,,,,,
50378093,933,0.893204,2,0,,132954675,42,0.029412,3,1,,,,,,,
50642819,929,0.893204,1,0,,133922649,145,0,2,1,,,,,,,
51518803,1226,0.912,1,0,,135430168,21,0,4,1,,,,,,,
52391404,905,0.892157,1,0,,135491361,18,0.025735,11,1,,,,,,,
55197774,863,0.912,2,0,,4743128,1947,0,281,1,,,,,,,
57724987,830,0.892157,1,0,,16479936,1564,0,4,1,,,,,,,
59050741,816,0.892157,2,0,,40844057,1059,0.4,30,1,,,,,,,
59115369,815,0.892157,3,0,,51246816,922,0.4,43,1,,,,,,,
59315747,813,0.602941,19,0,,55922696,853,0.4,14,1,,,,,,,
62137035,780,0.912,9,0,,89774715,460,0.4,40,1,,,,,,,
62906917,1102,0.912,2,0,,95666875,846,0.4,25,1,,,,,,,
64073059,914,0.892157,2,0,,3077529,2271,0,60,1,,,,,,,
64266367,1122,0.912,2,0,,5141840,1237,0.142857,24,1,,,,,,,
65899506,1274,0.446154,1,0,,8616195,1807,0.142857,1167,1,,,,,,,
66145687,730,0.893204,1,0,,9060199,1881,0,46,1,,,,,,,
69066132,1382,0.894231,2,0,,15209177,1213,0.142857,863,1,,,,,,,
69108282,692,0.892157,5,0,,19722742,1446,0,2308,1,,,,,,,
71282644,666,0.894231,3,0,,22055123,1401,0.142857,321,1,,,,,,,
71485467,663,0.9,7,0,,22092902,1417,0,1628,1,,,,,,,
72152912,655,0.893204,2,0,,23375125,1397,0,10,1,,,,,,,
72219444,654,0.617647,1,0,,25027439,1359,0,1077,1,,,,,,,
72322664,653,0.885714,2,0,,27245960,1314,0,660,1,,,,,,,
73001986,645,0.617647,104,0,,27310947,1348,0,22,1,,,,,,,
73342890,640,0.892157,3,0,,27329911,1363,0,999,1,,,,,,,
74556183,626,0.893204,1,0,,27451258,1639,0.214286,34,1,,,,,,,
75011486,621,0.893204,1,0,,27494697,1347,0.285714,29,1,,,,,,,
75431680,616,0.893204,2,0,,28999797,1290,0.285714,189,1,,,,,,,
77504121,898,0.893204,1,0,,29684778,1275,0,807,1,,,,,,,
79111519,1148,0.892157,5,0,,32550684,1216,0,1551,1,,,,,,,
80936294,557,0.894231,1,0,,33225550,1180,0.285714,112,1,,,,,,,
81102717,556,0.886792,4,0,,33550211,1176,0,427,1,,,,,,,
83453995,530,0.885714,2,0,,33613036,1173,0,324,1,,,,,,,
91242486,1741,0.602941,1,0,,33983224,1164,0,51,1,,,,,,,
