full_name,repo_id,All,70%,90%,30%
freke/smarthome,116052299,Social,Social,Social,Social
bigahega/YCSB,66550705,Hard,Social,Social,Social
saikiran2012/phoenix,23338010,Hard,Social,Social,Social
rpelisse/infinispan,10033316,Social,Social,Social,Social
igorbernstein2/YCSB,114820166,Hard,Social,Social,Social
kcroaker/YCSB,68074823,Hard,Social,Social,Social
YuanGunGun/zeppelin,90034565,Hard,Social,Social,Social
otrack/Leads-infinispan,11154994,Hard,Social,Social,Social
milliondreams/flink,45457335,Social,Social,Social,Social
javiteri95/KV-replay,70919220,Hard,Hard,Hard,Hard
AvinduDinushan/drools,66370779,Hard,Social,Social,Social
alanfx/infinispan,11819713,Social,Social,Social,Social
roberthoenig/react-native,138009728,Social,Social,Social,Social
ebozag/KV-replay,37724775,Hard,Hard,Hard,Social
croiuki/pinpoint,106240976,Hard,Social,Social,Social
Holmistr/infinispan,12154145,Social,Social,Social,Social
BTCGPU/bitcoinj,150948091,Hard,Social,Social,Social
jschmieg/YCSB,71234382,Hard,Social,Social,Social
BarinderGrewal/react-native,186816146,Social,Social,Social,Social
jmarkos/infinispan,13091267,Social,Social,Social,Social
gersilex/openhab2-addons,78885360,Social,Social,Social,Social
obissick/YCSB,80431217,Hard,Social,Social,Social
koujm/cameraview,78427184,Hard,Social,Social,Social
vjuranek/infinispan,14857763,Social,Social,Social,Social
Kudo/react-native,46964983,Social,Social,Social,Social
leschekhomann/YCSB,86306462,Hard,Social,Social,Social
adembo/drools,3107265,Hard,Social,Social,Social
Cotton-Ben/infinispan,16557570,Hard,Social,Social,Social
vapadwal/oasp4j,151374940,Social,Social,Social,Social
littypl/YCSB-TS,87422168,Hard,Social,Social,Social
izep/flyway,138791104,Social,Social,Social,Social
altanis/infinispan,22502379,Social,Social,Social,Social
shengjk/flink,168328151,Hard,Social,Social,Social
zyguan/ycsb,42989250,Hard,Social,Social,Social
TiVo/ExoPlayer,198902147,Hard,Social,Social,Social
slaskawi/infinispan,23697744,Hard,Social,Social,Social
EverFi/sqoop,111586026,Hard,Social,Social,Social
hostirosti/YCSB,105049597,Social,Social,Social,Social
chevonc/react-native,187265300,Hard,Social,Social,Social
Martinsos/infinispan,25045979,Social,Social,Social,Social
Gongreg/react-native,101299746,Hard,Social,Social,Social
InspurUSA/YCSB,103979221,Hard,Social,Social,Social
tbaldo/kafka,167004770,Social,Social,Social,Social
ryanemerson/infinispan,37123726,Social,Social,Social,Social
mw2q/YCSB,104159781,Hard,Social,Social,Social
Red5/red5-server,14514767,Parent,Parent,Parent,Parent
anujshahwork/infinispan,21697413,Hard,Social,Social,Social
QuailAutomation/openhab2-addons,76685828,Hard,Social,Social,Social
spuchnin/YCSB_IG,105547206,Hard,Hard,Hard,Social
StephanEwen/incubator-flink,21171031,Social,Social,Hard,Social
rigazilla/infinispan,46712849,Social,Social,Social,Social
Angra-DB/YCSB-Angra-DB,106730524,Hard,Social,Social,Social
