repo_id,forked_from,parent_id,hf_parent_id,depth,hf_depth,is_Hard_fork,full_name,owner_id,name,created_at,updated_at,build_file,ALL,0.7,0.9,0.3,1 Commit
1025831,1958,1958,NULL,1,NULL,0,normanmaurer/infinispan,21077,infinispan,41673.25764,42701.20764,pom.xml,Social,Social,Social,Social,Hard
85437730,32331012,1554,NULL,2,NULL,0,jehuty0shift/graylog2-server,9807264,graylog2-server,43112.65625,43551.62778,pom.xml,Social,Social,Social,Social,Hard
1042502,1958,1958,NULL,1,NULL,0,gustavonalle/infinispan,167550,infinispan,41786.78611,43506.92153,pom.xml,Hard,Social,Social,Social,Hard
89321187,1554,1554,NULL,1,NULL,0,pbr0ck3r/graylog2-server,37333658,graylog2-server,43152.58125,43520.08611,pom.xml,Social,Social,Social,Social,Hard
1427922,1958,1958,NULL,1,NULL,0,BrentDouglas/infinispan,427990,infinispan,40868.43611,42409,pom.xml,Hard,Social,Social,Social,Hard
45009581,14897549,14897549,NULL,1,NULL,0,zoln/pinpoint,9155259,pinpoint,42616.65833,25570,pom.xml,Hard,Social,Social,Social,Hard
1427958,1958,1958,NULL,1,NULL,0,mlinHard/infinispan,235851,infinispan,40590.72083,42428.58958,pom.xml,Social,Social,Social,Social,Hard
1427966,1958,1958,NULL,1,NULL,0,scottmarlow/infinispan,38993,infinispan,40487.77222,42432.58264,pom.xml,Social,Social,Social,Social,Hard
1875976,737087,1958,NULL,2,NULL,0,julia-wei/infinispan,1250738,infinispan,41399.30347,42423.56944,pom.xml,Social,Social,Social,Social,Hard
57296018,19560,19560,NULL,1,NULL,0,hdpe/OpenID-Connect-Java-Spring-Server,73693,OpenID-Connect-Java-Spring-Server,42782.54792,43473.28472,pom.xml,Social,Social,Social,Social,Hard
2914535,1958,1958,NULL,1,NULL,0,rvansa/infinispan,488804,infinispan,41333.63403,43425.61111,pom.xml,Social,Social,Social,Social,Hard
3557945,91042,1958,91042,2,1,1,didona/infinispan,1489888,infinispan,41397.69097,42413.72014,pom.xml,Social,Social,Social,Social,Hard
3699449,1958,1958,NULL,1,NULL,0,rpelisse/infinispan,27531,infinispan,41407.59861,42432.13403,pom.xml,Social,Social,Social,Social,Hard
83455509,38843634,38843634,NULL,1,NULL,0,shopkick/zeppelin,1540665,zeppelin,43087.66597,43609.18958,pom.xml,Hard,Social,Social,Social,Hard
4617484,1958,1958,NULL,1,NULL,0,otrack/Leads-infinispan,1445853,Leads-infinispan,41458.66319,42430.61875,pom.xml,Hard,Social,Social,Social,Hard
4783143,1958,1958,NULL,1,NULL,0,alanfx/infinispan,1249120,infinispan,41487.53819,43446.73542,pom.xml,Social,Social,Social,Social,Hard
4946791,1958,1958,NULL,1,NULL,0,Holmistr/infinispan,1829259,infinispan,41502.34653,42419.30069,pom.xml,Social,Social,Social,Social,Hard
76464599,18740233,18740233,NULL,1,NULL,0,DvdNelson/Hygieia,38584386,Hygieia,43012.54931,25570,pom.xml,Social,Social,Social,Social,Hard
5458072,1958,1958,NULL,1,NULL,0,jmarkos/infinispan,1871602,infinispan,41542.45694,42422.68333,pom.xml,Social,Social,Social,Social,Hard
6714334,1958,1958,NULL,1,NULL,0,vjuranek/infinispan,68299,infinispan,41610.38472,42435.11458,pom.xml,Social,Social,Social,Social,Hard
7790134,1958,1958,NULL,1,NULL,0,Cotton-Ben/infinispan,1559326,infinispan,41675.86111,42411.675,pom.xml,Hard,Social,Social,Social,Hard
30821053,27653260,27653260,NULL,1,NULL,0,Rabrg/scribejava,1071424,scribejava,42380.93819,42431.49028,pom.xml,Social,Social,Social,Social,Social
11179922,1958,1958,NULL,1,NULL,0,altanis/infinispan,419757,infinispan,41852.37361,42404.97847,pom.xml,Social,Social,Social,Social,Hard
11695653,1958,1958,NULL,1,NULL,0,slaskawi/infinispan,5054950,infinispan,41887.39931,43551.53264,pom.xml,Hard,Social,Social,Social,Hard
12645588,1958,1958,NULL,1,NULL,0,Martinsos/infinispan,1014851,infinispan,41922.73125,42427.31944,pom.xml,Social,Social,Social,Social,Hard
86939816,11637006,11637006,NULL,1,NULL,0,HugoDaBosss/Glowstone,1886152,Glowstone,43127.9,25570,pom.xml,Hard,Social,Social,Social,Hard
21060540,1958,1958,NULL,1,NULL,0,ryanemerson/infinispan,2381498,infinispan,42164.40556,43614.40208,pom.xml,Social,Social,Social,Social,Social
22693558,1958,1958,NULL,1,NULL,0,anujshahwork/infinispan,2559990,infinispan,41830.60833,42406.16875,pom.xml,Hard,Social,Social,Social,Hard
29096790,1958,1958,NULL,1,NULL,0,rigazilla/infinispan,3663552,infinispan,42331.43403,43575.04167,pom.xml,Social,Social,Social,Social,Hard
63437321,45297,45297,NULL,1,NULL,0,sravanimantha/kafka,9043132,kafka,42852.41944,25570,build.gradle,Hard,Social,Social,Social,Hard
46630288,1958,1958,NULL,1,NULL,0,tsegismont/infinispan,72877,infinispan,42639.64861,25570,pom.xml,Social,Social,Social,Social,Hard
47533435,1958,1958,NULL,1,NULL,0,panossot/infinispan,4781009,infinispan,42648.35486,25570,pom.xml,Social,Social,Social,Social,Hard
213186,1958,1958,NULL,1,NULL,0,vblagoje/infinispan,10238,infinispan,40491.82986,43543.47153,pom.xml,Hard,Social,Social,Social,Hard
57253008,1958,1958,NULL,1,NULL,0,zmyer/infinispan,2533762,infinispan,42504.70417,43498.38056,pom.xml,Hard,Social,Social,Social,Hard
91332024,1434458,1434458,NULL,1,NULL,0,matteinn/ActiveAndroid,613368,ActiveAndroid,43171.75417,43544.625,both pom and build,Hard,Hard,Hard,Hard,Hard
58689463,1958,1958,NULL,1,NULL,0,karesti/infinispan,168103,infinispan,42797.57847,43606.625,pom.xml,Social,Social,Social,Social,Hard
60779035,1958,1958,NULL,1,NULL,0,paoloantinori/infinispan,152114,infinispan,42821.65625,25570,pom.xml,Social,Social,Social,Social,Hard
76686971,1958,1958,NULL,1,NULL,0,skymysky/infinispan,7679313,infinispan,43015.09028,25570,pom.xml,Social,Social,Social,Social,Hard
128920077,103740273,17991525,NULL,2,NULL,0,rohitjain85/react-native,49900969,react-native,43535.35278,43614.54167,build.gradle,Hard,Social,Social,Social,Hard
83438281,1958,1958,NULL,1,NULL,0,diegolovison/infinispan,576680,infinispan,43087.50069,43614.75417,pom.xml,Social,Social,Social,Social,Social
83794253,1958,1958,NULL,1,NULL,0,fax4ever/infinispan,623180,infinispan,43092.48472,25570,pom.xml,Social,Social,Social,Social,Hard
91713993,1958,1958,NULL,1,NULL,0,haster/infinispan,345099,infinispan,43174.85278,25570,pom.xml,Social,Social,Social,Social,Hard
33458621,13689208,13689208,33458621,1,0,1,devonfw/training-devon-server,7944259,training-devon-server,42179.54514,25569.04167,pom.xml,Hard,Hard,Hard,Social,Hard
