repo_id,parent_id,depth,hf_parent_id,hf_depth,is_hard_fork,age,stars,forks,forks_active,user_count,user_family_count,followers_repo,followers_in_family,followers_outside,pr_within,pr_family,pr_within_comments,pr_family_comments,pr_within_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_repo_comments,issue_family_comments,issue_outside_comments,issues_subscribed_repo,issues_unsubscribed_repo,issues_closed_repo,issues_reopened_repo,issues_referenced_repo,issues_assigned_repo,issues_mentioned_repo,pr_mentioned_repo,issues_subscribed_family,issues_unsubscribed_family,issues_closed_family,issues_reopened_family,issues_referenced_family,issues_assigned_family,issues_mentioned_family,issues_subscribed_outside,issues_unsubscribed_outside,issues_closed_outside,issues_reopened_outside,issues_referenced_outside,issues_assigned_outside,issues_mentioned_outside,pr_family_mentioned,new_jaccard,activity,is_hf_parent,all,thirty,seventy,ninety,one_commit,jaccard_median,jaccard_k2,jaccard_k3,j_c_2,jaccard_k4
33082486,1554,1,NULL,NULL,0,1185,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965909,Short-Low,0,1,0,0,0,1,1,1,1,1,3
46175646,1554,1,NULL,NULL,0,984,0,0,0,2,1,0,0,209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755102,Short-Low,0,0,0,0,0,1,1,1,1,1,3
46668387,1554,1,NULL,NULL,0,977,1,2,0,2,1,0,0,202,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770833,Short-Low,0,1,0,0,0,1,1,1,1,1,3
68358145,1554,1,NULL,NULL,0,702,0,1,0,4,3,0,7,293,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Short-Low,0,1,0,0,0,1,0,1,1,1,3
75600466,1554,1,NULL,NULL,0,614,0,0,0,5,4,3,5,425,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659574,Short-Heavy,0,1,0,0,0,1,1,0,0,0,0
85437730,1554,2,NULL,NULL,0,505,1,0,0,2,1,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961111,Short-Low,0,0,0,0,0,1,1,1,1,1,3
89321187,1554,1,NULL,NULL,0,465,0,0,0,2,2,0,0,208,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Short-Low,0,0,0,0,0,1,0,1,1,1,3
94246087,1554,1,NULL,NULL,0,419,0,0,0,2,1,0,0,202,0,2,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622222,Short-Low,0,0,0,0,0,1,1,0,0,0,0
118888903,1554,1,NULL,NULL,0,180,0,0,0,2,1,0,0,202,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171429,Short-Low,0,0,0,0,0,1,0,0,0,1,3
2018,1958,1,NULL,NULL,0,3113,0,0,0,4,4,4,30,240,0,56,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Long-Heavy,0,0,0,0,0,0,0,0,0,0,0
